num,Ticker
1481,YPF
1482,USAC
1483,MDP
1484,CLB
1485,ERF
1486,AROC
1487,FCF
1488,BXMX
1489,HYT
1490,BAC PR M
1491,IPOF
1492,WMK
1493,FOE
1494,LADR
1495,MMI
1496,UVV
1497,BBN
1498,DCUE
1499,BAC PR N
1500,JPM PR G
1501,OII
1502,BPMP
1503,SCU
1504,LAC
1505,PRA
1506,MEG
1507,ALX
1508,AIR
1509,BRMK
1510,GEF.B
1511,HZO
1512,CVII.U
1513,BTZ
1514,KAHC.U
1515,GTY
1516,DBI
1517,FTV PR A
1518,LC
1519,NFJ
1520,ZYME
1521,AZZ
1522,BST
1523,STAR
1524,WOW
1525,MSC
1526,LINX
1527,OEC
1528,GHG
1529,BIF
1530,ALEX
1531,NEXA
1532,MODN
1533,PBI
1534,CMRE
1535,GS PR D
1536,SA
1537,CRK
1538,TGP
1539,TBA
1540,SYX
1541,ENVA
1542,DAC
1543,IPOE.U
1544,COF PR J
1545,WPF
1546,TGH
1547,TR
1548,OFG
1549,NMZ
1550,T PR A
1551,PTA
1552,BHLB
1553,NBHC
1554,RWT
1555,TUP
1556,LGF.A
1557,CRY
1558,ARCO
1559,ALL PR H
1560,DRQ
1561,DNOW
1562,HY
1563,KNL
1564,NXRT
1565,GOL
1566,VET
1567,FOR
1568,BKD
1569,RGR
1570,SXI
1571,ASZ.U
1572,VCRA
1573,NRK
1574,RNP
1575,CLNC
1576,IPOF.U
1577,EIG
1578,IMAX
1579,CHCT
1580,RES
1581,WFC PR A
1582,ACB
1583,KOS
1584,FSM
1585,RFP
1586,WFC PR X
1587,DTP
1588,REVG
1589,QUOT
1590,KREF
1591,BSX PR A
1592,SII
1593,DBD
1594,BCEI
1595,USB PR A
1596,KRA
1597,AKO.B
1598,ETW
1599,CCO
1600,JPM PR H
1601,MS PR K
1602,GEL
1603,USB PR M
1604,MS PR I
1605,LRN
1606,CUBI
1607,JWS
1608,DUK PR A
1609,PRPB.U
1610,BAC PR O
1611,ACEL
1612,JWSM
1613,MX
1614,AXL
1615,EOS
1616,AGRO
1617,AHH
1618,MS PR A
1619,BHE
1620,GS PR J
1621,AAN
1622,WPF.U
1623,PRPB
1624,GFLU
1625,PUMP
1626,HQH
1627,AAC
1628,C PR J
1629,JWSM.U
1630,MET PR F
1631,CTS
1632,STNG
1633,CLS
1634,AOD
1635,SMP
1636,GAM
1637,BFS
1638,AWF
1639,RPT
1640,FFC
1641,C PR S
1642,AZRE
1643,AIV
1644,AGM
1645,AESC
1646,INN
1647,BCSF
1648,EXK
1649,RC
1650,SFL
1651,CRHC
1652,JPC
1653,APSG
1654,AKO.A
1655,PLOW
1656,TALO
1657,WFC PR C
1658,BRBR
1659,AAC.U
1660,HNGR
1661,TRTX
1662,ATH PR A
1663,STEM
1664,DHT
1665,MS PR E
1666,MNRL
1667,KYN
1668,MYI
1669,TFC PR R
1670,RMO
1671,TBI
1672,GOF
1673,UMH
1674,VEI
1675,JWS.U
1676,PBFX
1677,RAD
1678,CAL
